Data,PIB - renda nacional bruta - R$ - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais Trimestrais (IBGE/SCN Trimestral) - SCN104_PNBN104,
2000 T1,271187.458856845,
2000 T2,280861.433527602,
2000 T3,303031.088733427,
2000 T4,309480.448715556,
2001 T1,304054.878024927,
2001 T2,312103.973286771,
2001 T3,323770.849406666,
2001 T4,333105.51880436,
2002 T1,334593.667718313,
2002 T2,353932.307230391,
2002 T3,369102.903106839,
2002 T4,381212.397724946,
2003 T1,385547.085416871,
2003 T2,403494.952649554,
2003 T3,429520.082489742,
2003 T4,444870.154259475,
2004 T1,431900.919346336,
2004 T2,464849.565479096,
2004 T3,493334.82984501,
2004 T4,509826.68406634,
2005 T1,485678.853469191,
2005 T2,517523.944540948,
2005 T3,538870.416162471,
2005 T4,565766.897759031,
2006 T1,538832.86371647,
2006 T2,565065.365909991,
2006 T3,605837.719034765,
2006 T4,639420.390882213,
2007 T1,617096.695173859,
2007 T2,655952.585713995,
2007 T3,678400.276318723,
2007 T4,711032.714862691,
2008 T1,692351.223564633,
2008 T2,750798.407939454,
2008 T3,793550.038333377,
2008 T4,796849.871497333,
2009 T1,739831.384274088,
2009 T2,784501.042677545,
2009 T3,835465.300765775,
2009 T4,899489.87285137,
2010 T1,856924.745783406,
2010 T2,913795.1108905,
2010 T3,966573.785405112,
2010 T4,1028518.68808578,
2011 T1,990195.012821812,
2011 T2,1060627.25176111,
2011 T3,1082323.32610259,
2011 T4,1130776.66511447,
2012 T1,1102144.56911878,
2012 T2,1156231.03943527,
2012 T3,1199516.60674646,
2012 T4,1236737.64750477,
2013 T1,1222491.5903329,
2013 T2,1308274.03048517,
2013 T3,1332705.33404747,
2013 T4,1394064.28375933,
2014 T1,1357122.40199425,
2014 T2,1400651.91593259,
2014 T3,1434410.26271742,
2014 T4,1479081.42390753,
2015 T1,1432384.86670459,
2015 T2,1453126.38458079,
2015 T3,1477054.90848195,
2015 T4,1520398.55692155,
2016 T1,1460521.85636962,
2016 T2,1533271.8967149,
2016 T3,1543410.44945179,
2016 T4,1599117.46517444,
2017 T1,1550588.05551365,
2017 T2,1603683.52250729,
2017 T3,1616832.50970025,
2017 T4,1691258.98697377,
2018 T1,1631480.98576044,
2018 T2,1694558.2508472,
2018 T3,1720629.61279202,
2018 T4,1762712.64532898,
2019 T1,1717444.87424366,
2019 T2,1794718.86882334,
2019 T3,1826620.2188759,
2019 T4,1869840.34261058,
2020 T1,1780813.33923346,
2020 T2,1679813.76289151,
2020 T3,1863515.94052288,
